APA	1841666
MRVL	1835632
SHLS	1831651
CARE	1829576
DSP	1828791
OCDX	1828443
SGFY	1828182
PLTK	1828016
CERT	1827090
BCAB	1826892
WOOF	1826470
CGNT	1824814
AMAL	1823608
MRVI	1823239
SHC	1822479
LESL	1821806
AAN	1821393
NGMS	1821349
AIRC	1820877
ARRY	1820721
LQDA	1819576
DYN	1818794
MAX	1818383
ASO	1817358
VOR	1817229
KYMR	1815442
RLAY	1812364
U	1810806
EBC	1810546
ALXO	1810182
RXT	1810019
AOUT	1808997
ITOS	1808865
PRG	1808834
GOCO	1808220
TSHA	1806310
RKT	1805284
DRVN	1804745
XPER	1803696
CNXC	1803599
RPRX	1802768
AMTI	1801777
ANAT	1801075
FROG	1800667
IAC	1800227
ALGS	1799448
GAN	1799332
DNB	1799208
NTST	1798100
KNTE	1797768
MAXN	1796898
ORIC	1796280
APG	1796209
STEP	1796022
MSGE	1795250
SLQT	1794783
PPD	1793294
OVV	1792580
VTRS	1792044
BEPC	1791863
ARNC	1790982
CGEM	1789972
BIPC	1788348
NKTX	1787400
ARQT	1787306
PASG	1787297
VNT	1786842
REYN	1786431
BILL	1786352
ETNB	1785173
BRMK	1784797
ECOL	1783400
MCFE	1783317
PHAT	1783183
CARR	1783180
AZEK	1782754
APRE	1781983
BRP	1781755
OTIS	1781335
PVBC	1778784
SWTX	1773427
DT	1773383
ONEW	1772921
NOVA	1772695
BRBR	1772016
KRTX	1771917
GO	1771515
TXG	1770787
XRX	1770450
SANA	1770121
HONE	1769617
CRNC	1768267
ARCT	1768224
RMBI	1767837
XPEL	1767258
PNTG	1766400
WORK	1764925
IMVT	1764013
DSSI	1761940
PLMR	1761312
KTB	1760965
SRGA	1760173
ALTG	1759824
LYFT	1759509
TW	1758730
OSW	1758488
STE	1757898
NVST	1757073
CHNG	1756497
TMDX	1756262
CTVA	1755672
CYCN	1755237
FOXA	1754301
FOX	1754301
ALVR	1754068
CVET	1752836
DOW	1751788
OLMA	1750284
TCRR	1750019
BSIG	1748824
AMCR	1748790
BALY	1747079
MCBS	1747068
ETRN	1747009
PLRX	1746473
BFC	1746109
BEAM	1745999
PFSI	1745916
MNRL	1745797
STNE	1745431
IAA	1745041
AKRO	1744659
DIS	1744489
BBIO	1743881
CRSR	1743759
GDYN	1743725
LTHM	1742924
KRON	1741830
REZI	1740332
SWI	1739942
CI	1739940
SVMK	1739936
INBX	1739614
ACA	1739445
ELAN	1739104
CMBM	1738177
REPL	1737953
ALLO	1737287
ARLO	1736946
APR	1735803
MGTX	1735438
RVI	1735184
BV	1734713
AMTB	1734342
NWN	1733998
GBIO	1733294
WRK	1732845
BCML	1730984
KNSA	1730430
AVGO	1730168
VMD	1729149
EPRT	1728951
IIIV	1728688
GOSS	1728117
FTDR	1727263
SRRK	1727196
GSHD	1726978
SEER	1726445
BH	1726173
AHCO	1725255
ZNTL	1725160
CDAY	1725057
TALO	1724965
PRSP	1724670
MSP	1724570
RCUS	1724521
CLBK	1723596
AMRX	1723128
CHX	1723089
YMAB	1722964
WH	1722684
AVTR	1722482
AKUS	1722271
OPBK	1722010
JAMF	1721947
BTAI	1720893
PAE	1720821
OYST	1720725
NVT	1720635
RPAY	1720592
EAR	1719395
GTES	1718512
ROAD	1718227
CLNC	1717547
ODT	1717452
ILPT	1717307
FCBP	1716697
DNLI	1714899
VVNT	1713952
RFL	1713863
ZS	1713683
GSKY	1712923
PACK	1712463
TH	1712189
LILAK	1712184
LILA	1712184
CURO	1711291
KRYS	1711279
EVRG	1711269
SWCH	1710583
CEIX	1710366
EYE	1710155
RUBY	1709401
HBB	1709164
HARP	1708493
RBBN	1708055
PQG	1708035
LIN	1707925
ESTC	1707753
SLDB	1707502
CPLG	1707178
SPCE	1706946
VIR	1706431
BRY	1705873
CLXT	1705843
VICI	1705696
CNNE	1704720
FNKO	1704711
EVOP	1704596
FLMN	1703785
FREQ	1703647
GPMT	1703644
PDLB	1703489
ADT	1703056
ATUS	1702780
BY	1702750
SMPL	1702744
LOVE	1701758
ALTR	1701732
BKR	1701605
BDTX	1701541
SPRO	1701108
WOW	1701051
PMVP	1699382
IR	1699150
WHD	1699136
ACEL	1698991
MGY	1698990
NESR	1698514
APLT	1697532
SOI	1697500
PRVB	1695357
HYFM	1695295
EVLO	1694665
DK	1694426
LBRT	1694028
MNSB	1693577
TBIO	1693415
WTTR	1693256
INZY	1693011
VST	1692819
CODX	1692415
SWX	1692115
SNDR	1692063
LMND	1691421
PCSB	1691337
HCC	1691303
CVNA	1690820
NMRK	1690680
MGTA	1690585
AYX	1689923
BHVN	1689813
JBGS	1689796
ARD	1689662
BLI	1689657
PRAX	1689548
SAFE	1688852
